Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_tf32_NN,nn_512_16384_16384_ld_512_16384_512,Default,18.1071
GemmTunableOp_tf32_TN,tn_16384_16384_512_ld_512_512_16384,Default,15.3015
GemmTunableOp_Half_TT,tt_1280_1024_1280_ld_1280_1024_1280,Gemm_Rocblas_-1140853983,0.065645
GemmTunableOp_Half_TT,tt_1536_16384_512_ld_512_16384_1536,Default,0.391297
GemmTunableOp_Half_TT,tt_640_4096_640_ld_640_4096_640,Gemm_Rocblas_-1140854006,0.0534297
GemmTunableOp_Half_TT,tt_512_16384_512_ld_512_16384_512,Gemm_Rocblas_-1140853998,0.138002
GemmTunableOp_Half_NN,nn_16384_512_36_ld_16384_36_16384,Gemm_Rocblas_-1140851476,0.0350042
GemmTunableOp_Half_NN,nn_16384_320_640_ld_16384_640_16384,Default,0.13836
GemmTunableOp_Half_NN,nn_4096_320_2880_ld_4096_2880_4096,Gemm_Rocblas_-1140851500,0.134867
GemmTunableOp_Half_NN,nn_16384_320_960_ld_16384_960_16384,Default,0.175573
GemmTunableOp_Half_NN,nn_262144_256_4608_ld_262144_4608_262144,Gemm_Rocblas_-1140851504,10.0681
GemmTunableOp_Half_NN,nn_16384_4_4_ld_16384_4_16384,Gemm_Rocblas_-1140851465,0.0105549
GemmTunableOp_Half_NN,nn_1024_1280_2560_ld_1024_2560_1024,Gemm_Rocblas_-1140851501,0.134088
GemmTunableOp_Half_NN,nn_16384_4_2880_ld_16384_2880_16384,Gemm_Rocblas_-1140851465,0.181238
GemmTunableOp_Half_NN,nn_1024_1280_5760_ld_1024_5760_1024,Gemm_Rocblas_-1140851528,0.279398
GemmTunableOp_Half_NN,nn_262144_256_512_ld_262144_512_262144,Gemm_Rocblas_-1140851539,1.54857
GemmTunableOp_Half_NN,nn_16384_320_8640_ld_16384_8640_16384,Gemm_Rocblas_-1140851488,1.71353
GemmTunableOp_Half_NN,nn_4096_640_17280_ld_4096_17280_4096,Gemm_Rocblas_-1140851537,1.50853
